Nr;Art;x;y;z
442;342;15.96;22.98;-0.07
443;112;15.98;24.06;-0.23
444;112;16.81;25.30;-0.27
445;112;15.97;25.53;-0.21
446;112;13.39;25.29;-0.27
447;112;12.07;25.12;-0.19
448;342;10.69;24.44;-0.14
449;112;9.61;24.94;-0.17
450;112;8.74;24.80;-0.18
451;112;6.16;24.71;-0.10
452;112;4.07;24.19;-0.16
453;112;0.48;23.81;-0.20
454;342;0.14;24.32;-0.16
455;112;-10.40;23.38;-0.29
456;112;-12.63;23.30;-0.15
457;112;-15.57;22.61;-0.21
458;221;-16.19;23.02;-0.17
459;112;-17.65;22.45;-0.19
460;112;-18.92;22.72;-0.19
461;112;-20.76;22.23;-0.32
462;112;-21.83;22.39;-0.23
463;112;-20.47;24.47;-0.21
464;221;-19.02;24.65;-0.23
465;112;-18.69;23.98;-0.27
466;112;-17.10;24.33;-0.20
467;112;-13.96;24.77;-0.22
468;112;-12.65;24.79;-0.25
469;112;-10.31;25.09;-0.31
470;112;-8.65;25.14;-0.24
471;112;-6.85;25.22;-0.27
472;112;-5.71;25.35;-0.30
473;342;-5.20;25.17;-0.28
474;221;-3.51;24.90;-0.28
475;112;-1.56;25.48;-0.28
476;112;-0.29;25.81;-0.21
477;112;1.72;25.82;-0.26
478;112;2.71;26.06;-0.31
479;112;5.31;26.44;-0.22
480;112;8.10;26.64;-0.21
481;342;8.87;25.83;-0.19
482;112;10.00;26.75;-0.23
483;112;12.70;26.91;-0.25
484;112;15.17;27.07;-0.31
485;221;15.48;29.05;-0.31
486;112;13.32;28.77;-0.33
487;112;10.13;28.86;-0.26
488;112;9.36;28.26;-0.31
489;112;7.26;28.26;-0.27
490;221;4.50;28.14;-0.20
491;112;0.51;27.45;-0.21
492;112;-0.86;27.34;-0.26
493;112;-2.76;27.34;-0.22
494;211;-4.07;27.73;-0.22
495;112;-7.29;26.96;-0.34
496;112;-9.03;26.81;-0.31
497;112;-15.20;26.54;-0.17
498;221;-21.42;25.86;-0.26
499;112;-22.00;27.71;-0.23
500;112;-20.45;27.92;-0.26
501;342;-20.03;27.40;-0.23
502;112;-19.11;27.43;-0.29
503;112;-12.19;28.42;-0.24
504;112;-0.54;29.40;-0.20
505;112;2.40;29.73;-0.12
506;221;3.91;29.88;-0.31
507;112;4.52;29.89;-0.28
508;112;12.54;30.46;-0.34
509;112;14.07;30.51;-0.35
510;112;16.47;30.92;-0.36
511;112;13.33;32.27;-0.35
512;112;12.37;32.11;-0.38
513;112;8.80;31.64;-0.33
514;112;5.31;31.45;-0.26
515;112;2.47;31.17;-0.33
516;112;-1.50;30.68;-0.33
517;112;-4.10;30.50;-0.35
518;112;-6.73;30.16;-0.34
519;112;-12.07;29.71;-0.30
520;112;-12.68;29.87;-0.26
521;112;-15.18;29.72;-0.23
522;112;-18.47;29.53;-0.24
523;112;-21.38;30.86;-0.23
524;112;-18.65;31.09;-0.24
525;112;-16.65;31.31;-0.24
526;112;-14.45;31.58;-0.22
527;112;-10.65;31.70;-0.29
528;112;-4.73;32.25;-0.30
